query_id,scene_id,operator,prompt_mode,descriptor_level,context_scope,language,example_a,example_b,example_ref,gt_value,gt_object_a,gt_object_b,grounded_a,grounded_b,grounding_correct,e_total_surface,e_total_centroid,nearest_vlm_answer,nearest_vlm_dist,vlm_response,error,__source,provider,model,E_grounding,score
test_stage1_dn_0019,scene0106_00,distance,original,,,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_015,scene0106_00__table_002,False,0.7798415292039446,1.5080691576004028,,,"scene0106_00__chair_015, scene0106_00__table_002",,e2e_grounding_test_official_raw_distance_baseline_en_qwen3vl8b_run2.csv,openrouter,qwen/qwen3-vl-8b-instruct,0.7798415292039446,-0.0004063639448354218
test_stage1_dn_0019,scene0106_00,distance,original,,,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_015,scene0106_00__table_002,False,0.7798415292039446,1.5080691576004028,,,"scene0106_00__chair_015, scene0106_00__table_002",,e2e_grounding_test_official_raw_distance_baseline_en_qwen3vl235b_run1.csv,openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.7798415292039446,-0.0004063639448354218
test_stage1_dn_0002,scene0012_01,distance,original,,,en,scene0012_01__chair_002,scene0012_01__chair_001,,0.5864425897598267,scene0012_01__door_032,scene0012_01__table_008,scene0012_01__door_029,scene0012_01__table_008,False,0.8331511350329613,1.742068886756897,,,"scene0012_01__door_029, scene0012_01__table_008",,e2e_grounding_test_official_raw_distance_baseline_en.csv,,,0.8331511350329613,-0.001098997753973634
test_stage1_dn_0002,scene0012_01,distance,context,1.0,all,en,scene0012_01__chair_002,scene0012_01__chair_001,,0.5864425897598267,scene0012_01__door_032,scene0012_01__table_008,scene0012_01__door_029,scene0012_01__table_008,False,0.8331511350329613,1.742068886756897,,,"scene0012_01__door_029, scene0012_01__table_008",,e2e_grounding_test_official_raw_distance_ctx_l1_en_qwen3vl235b_run1.csv,openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.8331511350329613,-0.001098997753973634
test_stage1_dn_0002,scene0012_01,distance,context,1.0,all,en,scene0012_01__chair_002,scene0012_01__chair_001,,0.5864425897598267,scene0012_01__door_032,scene0012_01__table_008,scene0012_01__door_029,scene0012_01__table_008,False,0.8331511350329613,1.742068886756897,,,"scene0012_01__door_029, scene0012_01__table_008",,e2e_grounding_test_official_raw_distance_ctx_l1_en_qwen3vl235b_run2.csv,openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.8331511350329613,-0.001098997753973634
test_stage1_dn_0019,scene0106_00,distance,context,3.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l3_en.csv,,,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,1.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l1_en_qwen3vl32b_run2.csv,openrouter,qwen/qwen3-vl-32b-instruct,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,3.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l3_en_qwen3vl32b_run1.csv,openrouter,qwen/qwen3-vl-32b-instruct,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,2.0,reference_only,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l2_ref_only_en.csv,,,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,2.0,reference_only,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l2_ref_only_en_run2.csv,,,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,1.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l1_en_qwen3vl235b_run2.csv,openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,2.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l2_en_qwen3vl8b_run1.csv,openrouter,qwen/qwen3-vl-8b-instruct,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,3.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l3_en_qwen3vl235b_run1.csv,openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,2.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l2_en_run2.csv,,,0.7287324439021458,-0.005079064552160808
test_stage1_dn_0019,scene0106_00,distance,context,1.0,all,en,scene0106_00__door_037,scene0106_00__monitor_021,,0.1978783160448074,scene0106_00__chair_018,scene0106_00__table_002,scene0106_00__chair_012,scene0106_00__table_001,False,0.7287324439021458,1.390372633934021,,,"scene0106_00__chair_012, scene0106_00__table_001",,e2e_grounding_test_official_raw_distance_ctx_l1_en_qwen3vl32b_run1.csv,openrouter,qwen/qwen3-vl-32b-instruct,0.7287324439021458,-0.005079064552160808
