query_id,scene_id,object_a,label_a,object_b,label_b,surface_ref_distance_m,centroid_distance_m,aabb_distance_m,centroid_abs_error_m,aabb_abs_error_m,aabb_minus_surface_m,centroid_minus_surface_m,aabb_improvement_over_centroid_m
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,monitor,scene0008_00__table_032,table,0.4495985805988312,1.162853968080874,0.23452043533325195,0.7132553874820429,0.21507814526557922,-0.21507814526557922,0.7132553874820429,0.49817724221646364
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,chair,scene0012_01__table_008,table,0.4960574507713318,1.0757911020891902,0.15259738929378794,0.5797336513178584,0.3434600614775438,-0.3434600614775438,0.5797336513178584,0.23627358984031455
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,door,scene0012_01__table_008,table,0.5864425897598267,1.1450196292772696,0.47714686393737793,0.558577039517443,0.10929572582244873,-0.10929572582244873,0.558577039517443,0.44928131369499424
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,chair,scene0050_02__desk_003,desk,0.1923689544200897,0.9713654870419376,0.03954625129699707,0.7789965326218479,0.15282270312309262,-0.15282270312309262,0.7789965326218479,0.6261738294987552
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,sofa,scene0050_02__table_011,table,0.1670646965503692,1.0019477599051967,0.0,0.8348830633548274,0.1670646965503692,-0.1670646965503692,0.8348830633548274,0.6678183668044582
test_stage1_dn_0005,scene0066_00,scene0066_00__cabinet_003,cabinet,scene0066_00__chair_019,chair,0.8375847339630127,1.1002019281501674,0.24361610412597678,0.2626171941871547,0.5939686298370359,-0.5939686298370359,0.2626171941871547,-0.33135143564988123
test_stage1_dn_0006,scene0066_00,scene0066_00__chair_007,chair,scene0066_00__table_022,table,0.298779159784317,1.493867561992882,0.0,1.195088402208565,0.298779159784317,-0.298779159784317,1.195088402208565,0.896309242424248
test_stage1_dn_0007,scene0066_00,scene0066_00__chair_013,chair,scene0066_00__door_032,door,0.4286984205245971,1.2162398304426267,0.39855527877807617,0.7875414099180296,0.03014314174652094,-0.03014314174652094,0.7875414099180296,0.7573982681715086
test_stage1_dn_0008,scene0081_01,scene0081_01__chair_030,chair,scene0081_01__monitor_026,monitor,0.1527515649795532,0.6805809918240109,0.024885177612304688,0.5278294268444577,0.1278663873672485,-0.1278663873672485,0.5278294268444577,0.3999630394772091
test_stage1_dn_0009,scene0087_00,scene0087_00__chair_004,chair,scene0087_00__door_015,door,0.8706968426704407,2.0273876457581994,0.669604866449941,1.1566908030877587,0.20109197622049968,-0.20109197622049968,1.1566908030877587,0.955598826867259
test_stage1_dn_0010,scene0087_00,scene0087_00__sofa_003,sofa,scene0087_00__table_012,table,0.3623756170272827,1.043918275344414,0.17756032943725586,0.6815426583171313,0.18481528759002686,-0.18481528759002686,0.6815426583171313,0.4967273707271045
test_stage1_dn_0011,scene0092_03,scene0092_03__bed_062,bed,scene0092_03__monitor_018,monitor,0.5432937741279602,1.3327586487141823,0.3698291778564453,0.789464874586222,0.1734645962715149,-0.1734645962715149,0.789464874586222,0.6160002783147072
test_stage1_dn_0012,scene0092_03,scene0092_03__chair_057,chair,scene0092_03__desk_059,desk,0.3827621340751648,0.9091058339109108,0.04120659828185991,0.526343699835746,0.3415555357933049,-0.3415555357933049,0.526343699835746,0.18478816404244114
test_stage1_dn_0013,scene0095_00,scene0095_00__cabinet_016,cabinet,scene0095_00__table_017,table,0.2239548116922378,2.6277753223578544,0.0,2.4038205106656165,0.2239548116922378,-0.2239548116922378,2.4038205106656165,2.1798656989733787
test_stage1_dn_0014,scene0095_00,scene0095_00__chair_035,chair,scene0095_00__monitor_018,monitor,0.3191365003585815,0.6135208452103831,0.0,0.2943843448518016,0.3191365003585815,-0.3191365003585815,0.2943843448518016,-0.024752155506779894
test_stage1_dn_0015,scene0101_00,scene0101_00__bed_032,bed,scene0101_00__desk_027,desk,0.2716908752918243,1.7543558318525512,0.0,1.4826649565607268,0.2716908752918243,-0.2716908752918243,1.4826649565607268,1.2109740812689025
test_stage1_dn_0016,scene0101_00,scene0101_00__desk_027,desk,scene0101_00__sofa_019,sofa,0.2685104012489319,1.7693009350264948,0.23457777500152588,1.5007905337775629,0.033932626247406006,-0.033932626247406006,1.5007905337775629,1.4668579075301569
test_stage1_dn_0017,scene0106_00,scene0106_00__chair_010,chair,scene0106_00__door_037,door,0.3147442936897278,1.204274584668222,0.1984562873840332,0.8895302909784941,0.11628800630569458,-0.11628800630569458,0.8895302909784941,0.7732422846727995
test_stage1_dn_0018,scene0106_00,scene0106_00__chair_018,chair,scene0106_00__monitor_033,monitor,0.2984196841716766,0.6673283128565062,0.05181121826171875,0.3689086286848296,0.24660846590995783,-0.24660846590995783,0.3689086286848296,0.12230016277487177
test_stage1_dn_0019,scene0106_00,scene0106_00__chair_018,chair,scene0106_00__table_002,table,0.1978783160448074,1.2707568410864956,0.0,1.0728785250416881,0.1978783160448074,-0.1978783160448074,1.0728785250416881,0.8750002089968807
test_stage1_dn_0020,scene0110_00,scene0110_00__bed_013,bed,scene0110_00__door_004,door,0.3989245295524597,1.3562543478559712,0.0,0.9573298183035115,0.3989245295524597,-0.3989245295524597,0.9573298183035115,0.5584052887510518
